AmplitudeMedia,DecliveAmplitude,TipoMovimento
0.3707922619026774,0.0340373030057053,0
0.3515604501833607,0.0160492557047016,0
0.3857090085183936,-0.0192361540065844,0
0.387414104074201,0.0375122738274419,0
0.4398159558007448,0.0274218593168681,0
0.4044282579834243,0.0179130219691193,0
0.4425590316644675,-0.0206375744552735,0
0.3864781555530862,-0.0034691767357327,0
0.3992424514692568,-0.0442420831906054,0
0.3989451429119759,0.0214325303204965,0
0.393350389077708,-0.0016409683979684,0
0.4166311321376071,-0.0392280456991796,0
0.4877540431734724,-0.0520703757116096,0
0.4818430180842405,-0.1920898115752488,0
0.4252953607198217,-0.1290850039546862,0
0.4272767375641932,-0.1859831856360181,0
0.4021277393179813,-0.1420201268137839,0
0.4308644596946707,-0.1079995813223113,0
0.5093479363442988,-0.1197786419767484,0
0.4330905612287225,-0.156247484900616,0
0.4211931865989938,-0.1234241722619994,0
0.399946652418371,-0.1777576379934877,0
0.3879122406376151,-0.1698421108657644,0
0.4071292288429539,-0.139688630402597,0
0.5364143825699772,-0.0930366250813371,1
0.8368293204820668,-0.035462547175992,1
0.8896923387065074,-0.1220749639289567,1
1.3350129365370176,-0.4527920075465357,1
1.011042040042583,-0.2039605450631043,1
1.0444944613424365,-0.0150664445735211,1
1.0392879680684648,-0.178814295478406,1
1.105502455771751,-0.0679266639881532,1
1.032996692696282,-0.0224606440927142,1
1.055255245376854,-0.1418280565838936,1
1.0179718632964176,-0.202012432329749,1
0.9957335046030188,0.1213038645721895,1
0.9293938471700012,-0.1442341616715227,2
0.9409573184647056,-0.3048971238427982,2
0.8788535295762288,-0.2050652602295565,2
0.9054681634296302,-0.3066552550552299,2
0.8198225752933208,-0.3043127344804505,2
0.8371540801153528,-0.3322069471395577,2
0.8398005376605818,-0.3299481073603594,2
0.8997868772990095,-0.44028853014772,2
0.9608377569111544,-0.3601317878390029,2
0.9567717125889434,-0.3717178640673348,2
0.8922957575445877,-0.3650634321416707,2
0.8962793387056337,-0.3213224823546248,2
